sample_id,n_Na,r_TM,phi_TM,I_TM,S_TM,phi_cation,Phase_EXP,Phase_DNN,Group,Source
32224,0.7,55.565,59.72714,58.2109,0.876705519,14.34622438,0,0,Train,ICSD
32225,0.62,56.36,60.203905,63.25167,1.097206879,12.80808469,0,0,Train,ICSD
33349,0.767,56.175,57.866925,57.3739,0.634178636,15.2297805,0,0,Train,ICSD
33350,0.798,56.33,57.130751,56.7167,0.634178636,15.64374282,0,0,Train,ICSD
33352,0.954,57.11,53.426132,53.4095,0.634178636,17.48920085,0,0,Train,ICSD
35810,0.67,54.65,61.171658,58.6,0.943348392,14.06348294,0,0,Train,ICSD
35811,0.67,54.7,61.121616,58.964,1.029653014,14.05197819,0,0,Train,ICSD
50301,0.74,54.11,60.356586,58.6098,0,15.32583885,0,0,Train,ICSD
55722,0.406,53.609,67.178813,68.03862,0,9.358930204,0,0,Train,ICSD
70640,0.67,54.85,60.971491,60.056,0.693147181,14.01746416,0,0,Train,ICSD
95617,0.667,60.673,55.302028,64.59071178,0.636282869,12.65711653,0,0,Train,ICSD
98211,0.71,54.065,60.969361,59.4567,0,14.85380912,0,0,Train,ICSD
98212,0.73,54.095,60.560845,58.8921,0,15.16989825,0,0,Train,ICSD
99393,0.78,54.17,59.539553,57.4806,0,15.93558637,0,0,Train,ICSD
99394,0.84,54.26,58.314004,55.7868,0,16.8081536,0,0,Train,ICSD
99830,0.61,53.915,63.011944,62.2797,0,13.18926421,0,0,Train,ICSD
99831,0.57,53.855,63.828977,63.4089,0,12.48419613,0,0,Train,ICSD
112715,0.667,57.035,59.920262,59.85793,0.63903186,13.71410355,0,0,Train,ICSD
112716,0.667,56.985,59.972183,66.11917,0.63903186,13.72598685,0,0,Train,ICSD
112717,0.667,58.185,58.601521,61.92983,0.63903186,13.41227993,0,0,Train,ICSD
112718,0.667,55.635,60.297349,59.2566,0.63903186,13.80040842,0,0,Train,ICSD
112719,0.667,55.585,60.34927,65.51784,0.63903186,13.81229171,0,0,Train,ICSD
116426,0.75,58.75,59.893247,73.21752425,0.562335145,15.41370267,0,0,Train,ICSD
117923,0.56,53.88888889,64.124919,61.777,0.094824464,12.3220429,0,0,Train,ICSD
124528,0.65,58.28282828,61.039115,73.07887964,0.742478101,13.61411609,0,0,Train,ICSD
125982,0.667,55.333,60.58042,59.91956,0.868486425,13.8651956,0,0,Train,ICSD
127638,0.7,55.4,59.896821,59.174,0.801818553,14.38698109,0,0,Train,ICSD
138399,0.7,54.05,61.17362,59.739,0,14.6936632,0,0,Train,ICSD
145390,0.52,54.61,64.054001,62.607,0.634178636,11.42924266,0,0,Train,ICSD
145391,0.51,54.05,64.771101,63.448,0.693147181,11.3349425,0,0,Train,ICSD
148780,0.67,57.16,62.497931,72.3062194,0.950270539,14.36839568,0,0,Train,ICSD
149048,0.56,55.3,62.634887,61.4655,0.562335145,12.03572303,0,0,Train,ICSD
150910,0.3,53.45,69.34395,71.031,0,7.138346545,0,0,Train,ICSD
151793,0.711,54.0665,60.948935,59.42847,0,14.8697468,0,0,Train,ICSD
151795,0.762,54.143,59.907218,57.98874,0,15.6639748,0,0,Train,ICSD
155267,0.673,61.784,57.382519,57.16406,0.680292,13.25142324,0,0,Train,ICSD
155510,0.384,53.576,67.628181,68.65968,0,8.911007524,0,0,Train,ICSD
159810,0.63,53.945,62.603427,61.7151,0,13.53338859,0,0,Train,ICSD
159818,0.642,53.963,62.358317,61.37634,0,13.73717099,0,0,Train,ICSD
162600,0.69,54.035,61.377878,60.0213,0,14.53211527,0,0,Train,ICSD
162845,0.554,53.831,64.15579,63.86058,0,12.19589071,0,0,Train,ICSD
162847,0.543,53.8145,64.380474,64.17111,0,11.99559603,0,0,Train,ICSD
162849,0.53,53.795,64.64601,64.5381,0,11.75669969,0,0,Train,ICSD
166645,0.628,54.107,62.43141,61.63656,0.134742168,13.45335714,0,0,Train,ICSD
192730,0.58,54.15,63.35898,60.144,0.693147181,12.60968025,0,0,Train,ICSD
196275,0.64,58,60.2335,68.86872,0.500402424,13.22774923,0,0,Train,ICSD
196276,0.582,57.71,61.610858,70.09832,0.500402424,12.30404981,0,0,Train,ICSD
231006,0.66,55.301,60.737807,59.6501,0.636282869,13.75532617,0,0,Train,ICSD
231007,0.62,54.6,62.158869,61.116,0.693147181,13.22399367,0,0,Train,ICSD
235991,0.467,57.135,64.341828,72.53632,0.500402424,10.31046154,0,0,Train,ICSD
235992,0.62,57.9,60.708451,69.29272,0.500402424,12.91542437,0,0,Train,ICSD
235993,0.42,56.9,65.457963,73.53272,0.500402424,9.433647333,0,0,Train,ICSD
237123,0.79,54.185,59.335295,57.1983,0,16.08451837,0,0,Train,ICSD
237125,0.79,54.5,59.036339,55.704,0.610864302,16.00347785,0,0,Train,ICSD
246579,0.34,53.51,68.526917,69.9018,0,7.994806064,0,0,Train,ICSD
246584,0.8,54.2,59.131037,56.916,0,16.2320486,0,0,Train,ICSD
246585,1,54.5,55.045872,51.27,0,18.88828996,0,1,Train,ICSD
246744,0.64,55.31,61.306347,60.8058,0.325082973,13.46335485,0,0,Train,ICSD
246745,0.66,56.69,59.805008,59.6142,0.500402424,13.54407465,0,0,Train,ICSD
246746,0.77,58.205,56.465344,55.8819,0.610864302,14.91903017,0,0,Train,ICSD
246747,0.69,59.435,57.006588,57.5133,0.673011667,13.49714807,0,0,Train,ICSD
246748,0.72,60.83,55.300991,56.0394,0.693147181,13.66259848,0,0,Train,ICSD
253190,0.67,61.17,54.501109,65.70587,0.634178636,12.52991078,0,0,Train,ICSD
259163,0.67,55.19,60.661495,59.8098,0.871383575,13.94619548,0,0,Train,ICSD
261554,0.7,61.725,54.568503,54.4466,0.422709088,13.10714004,0,0,Train,ICSD
291156,0.706,55.56,59.617872,58.0843,0.889905276,14.4427223,0,0,Train,ICSD
19135,0.85,56.57,55.914351,55.6514,0.641035478,16.30835148,0,0,Train,ICSD
19136,0.85,57.77,56.764141,63.22581164,0.861779919,16.55620688,0,0,Train,ICSD
21001,0.5,53.75,65.258785,65.385,0,11.1963605,0,0,Train,ICSD
36989,0.69,56.21,59.311587,58.078,0.278769372,14.04289049,0,0,Train,ICSD
36990,0.69,56.66,59.301647,60.58468,0.473002904,14.04053704,0,0,Train,ICSD
36991,0.69,57.11,59.291707,63.09136,0.595046571,14.0381836,0,0,Train,ICSD
36992,0.69,57.56,59.281767,65.59804,0.687877158,14.03583016,0,0,Train,ICSD
41644,0.44,54.85,65.354945,63.088,0.325082973,9.867313956,0,0,Train,ICSD
43092,0.667,54.84455959,61.07901,60.58267,1.089894569,13.97930917,0,0,Train,ICSD
