sample_id,n_Na,q_Na,r_Na,I_Na,phi_Na,n_TM,q_TM,r_TM,I_TM,phi_TM,S_TM,n_O,q_O,r_O,I_O,phi_O,phi_cation,Phase_EXP
264777,1,1,102,47.28636,9.803922,1,3,72.5,54.344,45.865624,0.693147181,2,-4,140,280,28.571429,15.73820477,1
291907,1,1,102,47.28636,9.803922,1,3,104,60.6072,28.846154,0,2,-4,140,280,28.571429,9.898190385,1
291908,1,1,102,47.28636,9.803922,1,3,104.1,42.52,28.818444,0,2,-4,140,280,28.571429,9.888682051,1
291910,1,1,102,47.28636,9.803922,1,3,100.8,43.61,29.761905,0,2,-4,140,280,28.571429,10.21241868,1
13772,0.628,0.628,102,29.69583408,6.156863,1,3.372,56.14,65.59276,61.374669,1.16828245,2,-4,140,280,28.571429,13.22563981,0
19654,0.478,0.478,102,22.60288008,4.686275,1,3.522,55.39,62.2764,64.120364,0,2,-4,140,280,28.571429,10.5169979,0
19656,0.437,0.437,102,20.66413932,4.284314,1,3.563,55.185,63.1456,65.094014,0,2,-4,140,280,28.571429,9.760911696,0
19657,0.272,0.272,102,12.86188992,2.666667,1,3.728,54.36,66.6436,69.012362,0,2,-4,140,280,28.571429,6.441154495,0
19772,0.7,0.7,102,33.100452,6.862745,1,3.3,58.3,67.59672,58.808646,0.500402424,2,-4,140,280,28.571429,14.12560573,0
32224,0.7,0.7,102,33.100452,6.862745,1,3.3,55.565,58.2109,59.72714,0.876705519,2,-4,140,280,28.571429,14.34622438,0
32225,0.62,0.62,102,29.3175432,6.078431,1,3.38,56.36,63.25167,60.203905,1.097206879,2,-4,140,280,28.571429,12.80808469,0
33349,0.767,0.767,102,36.26863812,7.519608,1,3.233,56.175,57.3739,57.866925,0.634178636,2,-4,140,280,28.571429,15.2297805,0
33350,0.798,0.798,102,37.73451528,7.823529,1,3.202,56.33,56.7167,57.130751,0.634178636,2,-4,140,280,28.571429,15.64374282,0
33352,0.954,0.954,102,45.11118744,9.352941,1,3.046,57.11,53.4095,53.426132,0.634178636,2,-4,140,280,28.571429,17.48920085,0
35810,0.67,0.67,102,31.6818612,6.568627,1,3.33,54.65,58.6,61.171658,0.943348392,2,-4,140,280,28.571429,14.06348294,0
35811,0.67,0.67,102,31.6818612,6.568627,1,3.33,54.7,58.964,61.121616,1.029653014,2,-4,140,280,28.571429,14.05197819,0
50301,0.74,0.74,102,34.9919064,7.254902,1,3.26,54.11,58.6098,60.356586,0,2,-4,140,280,28.571429,15.32583885,0
55722,0.406,0.406,102,19.19826216,3.980392,1,3.594,53.609,68.03862,67.178813,0,2,-4,140,280,28.571429,9.358930204,0
70640,0.67,0.67,102,31.6818612,6.568627,1,3.33,54.85,60.056,60.971491,0.693147181,2,-4,140,280,28.571429,14.01746416,0
95617,0.667,0.667,102,31.54000212,6.539216,1,3.333,60.673,64.59071178,55.302028,0.636282869,2,-4,140,280,28.571429,12.65711653,0
98211,0.71,0.71,102,33.5733156,6.960784,1,3.29,54.065,59.4567,60.969361,0,2,-4,140,280,28.571429,14.85380912,0
98212,0.73,0.73,102,34.5190428,7.156863,1,3.27,54.095,58.8921,60.560845,0,2,-4,140,280,28.571429,15.16989825,0
99393,0.78,0.78,102,36.8833608,7.647059,1,3.22,54.17,57.4806,59.539553,0,2,-4,140,280,28.571429,15.93558637,0
99394,0.84,0.84,102,39.7205424,8.235294,1,3.16,54.26,55.7868,58.314004,0,2,-4,140,280,28.571429,16.8081536,0
99830,0.61,0.61,102,28.8446796,5.980392,1,3.39,53.915,62.2797,63.011944,0,2,-4,140,280,28.571429,13.18926421,0
99831,0.57,0.57,102,26.9532252,5.588235,1,3.43,53.855,63.4089,63.828977,0,2,-4,140,280,28.571429,12.48419613,0
112715,0.667,0.667,102,31.54000212,6.539216,1,3.333,57.035,59.85793,59.920262,0.63903186,2,-4,140,280,28.571429,13.71410355,0
112716,0.667,0.667,102,31.54000212,6.539216,1,3.333,56.985,66.11917,59.972183,0.63903186,2,-4,140,280,28.571429,13.72598685,0
112717,0.667,0.667,102,31.54000212,6.539216,1,3.333,58.185,61.92983,58.601521,0.63903186,2,-4,140,280,28.571429,13.41227993,0
112718,0.667,0.667,102,31.54000212,6.539216,1,3.333,55.635,59.2566,60.297349,0.63903186,2,-4,140,280,28.571429,13.80040842,0
112719,0.667,0.667,102,31.54000212,6.539216,1,3.333,55.585,65.51784,60.34927,0.63903186,2,-4,140,280,28.571429,13.81229171,0
116426,0.75,0.75,102,35.46477,7.352941,1,3.25,58.75,73.21752425,59.893247,0.562335145,2,-4,140,280,28.571429,15.41370267,0
117923,0.56,0.56,102,26.4803616,5.490196,0.9,3.44,53.88888889,61.777,64.124919,0.094824464,2,-4,140,280,28.571429,12.3220429,0
124528,0.65,0.65,102,30.736134,6.372549,0.99,3.34,58.28282828,73.07887964,61.039115,0.742478101,2,-4,140,280,28.571429,13.61411609,0
125982,0.667,0.667,102,31.54000212,6.539216,1,3.333,55.333,59.91956,60.58042,0.868486425,2,-4,140,280,28.571429,13.8651956,0
127638,0.7,0.7,102,33.100452,6.862745,1,3.3,55.4,59.174,59.896821,0.801818553,2,-4,140,280,28.571429,14.38698109,0
138399,0.7,0.7,102,33.100452,6.862745,1,3.3,54.05,59.739,61.17362,0,2,-4,140,280,28.571429,14.6936632,0
145390,0.52,0.52,102,24.5889072,5.098039,1,3.48,54.61,62.607,64.054001,0.634178636,2,-4,140,280,28.571429,11.42924266,0
145391,0.51,0.51,102,24.1160436,5,1,3.49,54.05,63.448,64.771101,0.693147181,2,-4,140,280,28.571429,11.3349425,0
